Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Valor total da contratação;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
"164/2025";Aprovada;Preparação;"Contratação de Solução de Firewall ";CONTRATACOES_TIC;250110;9.118.309,2900;23/08/2024;20/02/2025;181;"SEIDIGI.DATASUS.CGIE";"476/2023";"Médio";4;20/02/2025;Serviço;166;SERVIÇOS DE MANUTENÇÃO E INSTALAÇÃO DE EQUIPAMENTOS DE TIC;"";"";27111;"SERVIÇOS DE INSTALAÇÃO DE COMPUTADORES E SEUS PERIFÉRICOS";"";57.300,0000;2,00000;114.600,0000
"164/2025";Aprovada;Preparação;"Contratação de Solução de Firewall ";CONTRATACOES_TIC;250110;9.118.309,2900;23/08/2024;20/02/2025;181;"SEIDIGI.DATASUS.CGIE";"476/2023";"Médio";5;20/02/2025;Serviço;166;SERVIÇOS DE MANUTENÇÃO E INSTALAÇÃO DE EQUIPAMENTOS DE TIC;"";"";27111;"SERVIÇOS DE INSTALAÇÃO DE COMPUTADORES E SEUS PERIFÉRICOS";"";50.000,0000;1,00000;50.000,0000
"164/2025";Aprovada;Preparação;"Contratação de Solução de Firewall ";CONTRATACOES_TIC;250110;9.118.309,2900;23/08/2024;20/02/2025;181;"SEIDIGI.DATASUS.CGIE";"476/2023";"Médio";6;20/02/2025;Serviço;168;SERVIÇOS AUXILIARES DE TECNOLOGIA DA INFORMAÇÃO  E  COMUNICAÇÃO (TIC);"";"";27260;"SERVIÇOS AUXILIARES DE TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO";"";15.000,0000;60,00000;900.000,0000
"164/2025";Aprovada;Preparação;"Contratação de Solução de Firewall ";CONTRATACOES_TIC;250110;9.118.309,2900;23/08/2024;20/02/2025;181;"SEIDIGI.DATASUS.CGIE";"476/2023";"Médio";7;20/02/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";20052;"TREINAMENTO - INSTALAÇÃO / UTILIZAÇÃO EQUIPAMENTO";"";120.962,0000;1,00000;120.962,0000
"32/2025";Aprovada;Preparação;"Aquisição de Desktops";CONTRATACOES_TIC;250110;18.906.120,1500;04/10/2024;03/01/2025;91;"SEIDIGI.DATASUS.CGIE";"47/2024";"Alto";1;03/01/2025;Material;7010;COMPUTADORES;"6661";"MICROCOMPUTADOR";469792;"ARMAZENAMENTO HDD: SEM DISCO HDD, ARMAZENAMENTO SSD: 110 A 300, COMPONENTES ADICIONAIS: COM TECLADO E MOUSE, GABINETE: ULTRACOMPACTO, GARANTIA ON SITE: SUPERIOR A 36, MEMÓRIA RAM: SUPERIOR A 8, MONITOR: 21 A 29, NÚCLEOS POR PROCESSADOR: 4 A 8, SISTEMA OPERACIONAL: PROPRIETÁRIO";"UN";3.965,8500;4.009,00000;15.899.092,6500
"32/2025";Aprovada;Preparação;"Aquisição de Desktops";CONTRATACOES_TIC;250110;18.906.120,1500;04/10/2024;03/01/2025;91;"SEIDIGI.DATASUS.CGIE";"47/2024";"Alto";2;03/01/2025;Material;7010;COMPUTADORES;"8435";"NOTEBOOK";619309;"ALIMENTAÇÃO: BIVOLT AUTOMÁTICA, ARMAZENAMENTO HDD: SEM DISCO HDD, ARMAZENAMENTO SSD: 310 A 500, BATERIA: MINIMO DE 6 CELULAS, GARANTIA ON SITE: SUPERIOR A 36, INTERATIVIDADE DA TELA: SENSÍVEL AO TOQUE, MEMÓRIA RAM: SUPERIOR A 8, NÚCLEOS POR PROCESSADOR: SUPERIOR A 8, SISTEMA OPERACIONAL: PROPRIETÁRIO, TELA: SUPERIOR A 14";"UN";4.009,3700;750,00000;3.007.027,5000
"36/2025";Aprovada;;"Aquisição de válvula reguladora de vazão e pressão para pulverizador ";BENS;250110;7.500.000,0000;01/01/2025;30/06/2025;180;"SVS.DEDT.CGARB";"233/2024";"Médio";1;30/06/2025;Material;4810;VÁLVULAS ACIONADAS POR FORÇA MOTRIZ;"13285";"VALVULA REGULADORA DE VAZAO";615447;"APLICAÇÃO: INSETICIDA, DIÂMETRO: 11/16, MATERIAL: PLÁSTICO, TIPO: REGULADORA, USO: PULVERIZADOR";"UN";150,0000;50.000,00000;7.500.000,0000
"370/2025";Aprovada;;"Aquisição de ARMADILHAS ENTOMOLÓGICAS e outros itens da CGZV";BENS;250110;415.100,0000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"603/2024";"Baixo";1;01/09/2025;Material;3740;EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS;"3002";"ARMADILHA ANIMAL";401271;"CARACTERÍSTICAS ADICIONAIS: TAMANHO: 2,50M (COMPRIMENTO) X 2M (ALTURA), COMPONENTES: TECIDO BRANCO, CORDAS, MATERIAL: TECIDO, TIPO: ENTOMOLÓGICA, SHANNON";"UN";200,0000;200,00000;40.000,0000
"370/2025";Aprovada;;"Aquisição de ARMADILHAS ENTOMOLÓGICAS e outros itens da CGZV";BENS;250110;415.100,0000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"606/2024";"Médio";1;01/09/2025;Material;3740;EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS;"3002";"ARMADILHA ANIMAL";401272;"CARACTERÍSTICAS ADICIONAIS: CORPO PVC 4",TUBO PVC 3",ARO PVC TAMPA TIPO FUNIL, COMPONENTES: TUBO PVC, TELA MALHA FINA, BATERIA 12V, MATERIAL: PVC, TELA MALHA FINA, TIPO: ENTOMOLÓGICA, ASPIRADOR ELÉTRICO";"UN";400,0000;200,00000;80.000,0000
"370/2025";Aprovada;;"Aquisição de ARMADILHAS ENTOMOLÓGICAS e outros itens da CGZV";BENS;250110;415.100,0000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"605/2024";"Médio";1;30/09/2025;Material;3740;EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS;"3002";"ARMADILHA ANIMAL";401274;"CARACTERÍSTICAS ADICIONAIS: FILTRO HEPA 612 0,3UM, TELA LÁTEX, ASPIRADOR 12", COMPONENTES: ASPIRADOR BUCAL,ASPIRADOR FILTRO,FILTRO,TUBO,TELA, MATERIAL: PLÁSTICO POLICARBONATO, TIPO: ASPIRADOR SUCÇÃO ORAL CASTRO";"UN";150,0000;800,00000;120.000,0000
"370/2025";Aprovada;;"Aquisição de ARMADILHAS ENTOMOLÓGICAS e outros itens da CGZV";BENS;250110;415.100,0000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"604/2024";"Baixo";1;30/09/2025;Material;3740;EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS;"3002";"ARMADILHA ANIMAL";619064;"CARACTERÍSTICAS ADICIONAIS: PARTE SUPERIOR EM PVC TRANSPARENTE PERFURADO, COMPONENTES: TUBO PVC, COR VERDE EM FORMA DE COPO, MATERIAL: PVC - CLORETO DE POLIVINILA, TIPO: ENTOMOLÓGICA";"UN";100,0000;500,00000;50.000,0000
"370/2025";Aprovada;;"Aquisição de ARMADILHAS ENTOMOLÓGICAS e outros itens da CGZV";BENS;250110;415.100,0000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"625/2024";"Baixo";1;30/09/2025;Material;3740;EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS;"3002";"ARMADILHA ANIMAL";451476;"CARACTERÍSTICAS ADICIONAIS: 220 V, REATOR, LÂMPADA FLUORESCENTE, COMPONENTES: CONE DE COBERTURA E CAPTURA, FOTOCÉLULA, HALETAS,, MATERIAL: POLIESTIRENO, TIPO: LUMINOSA";"UN";500,0000;100,00000;50.000,0000
"370/2025";Aprovada;;"Aquisição de ARMADILHAS ENTOMOLÓGICAS e outros itens da CGZV";BENS;250110;415.100,0000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"626/2024";"Baixo";1;30/09/2025;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;"4569";"CARREGADOR BATERIA";363025;"CARACTERÍSTICAS ADICIONAIS: SISTEMA FLUTUADOR AUTOMÁTICO DE TENSÃO, DISJUNTOR, TENSÃO SAÍDA: 24, TIPO: DIGITAL, MICROPROCESSADO";"UN";850,0000;80,00000;68.000,0000
"370/2025";Aprovada;;"Aquisição de ARMADILHAS ENTOMOLÓGICAS e outros itens da CGZV";BENS;250110;415.100,0000;03/04/2025;30/09/2025;180;"SVS.DEIDT.CGZV";"627/2024";"Baixo";1;30/09/2025;Material;3740;EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS;"3764";"PULVERIZADOR COSTAL MANUAL";340199;"CAPACIDADE TANQUE: 15, MATERIAL TANQUE: POLIETILENO, PESO BRUTO MÁXIMO: 4";"UN";710,0000;10,00000;7.100,0000
"320/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC, ";SERVICOS;250110;6.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"552/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;2,00000;6.000,0000
"332/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Liderança, ";SERVICOS;250110;3.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"564/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;1,00000;3.000,0000
"302/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Gestão Pública";SERVICOS;250110;6.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"533/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;2,00000;6.000,0000
